"Positions for account Non-Incorporated Association      XXXX-2807 as of 12:28 PM ET, 08/17/2016",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Symbol,Description,Quantity,Price,Price Change $,Price Change %,Market Value,Day Change $,Day Change %,Cost Basis,Gain/Loss $,Gain/Loss %,Reinvest Dividends?,Capital Gains?,% Of Account,Security Type
T,A T & T INC,350,$41.65 ,($0.31),-0.74%,"$14,577.85 ",($108.15),-0.74%,"$11,421.75 ","$3,156.10 ",27.63%,No,--,2.54%,Equity
ATVI,ACTIVISION BLIZZARD,500,$39.76 ,$0.45 ,1.14%,"$19,880.00 ",$225.00 ,1.14%,"$10,053.95 ","$9,826.05 ",97.73%,No,--,3.47%,Equity
AWK,AMERICAN WATER WORKS,220,$76.07 ,$0.54 ,0.71%,"$16,734.52 ",$117.92 ,0.71%,"$10,078.35 ","$6,656.17 ",66.04%,No,--,2.92%,Equity
AMGN,AMGEN INCORPORATED,100,$172.82 ,$0.66 ,0.38%,"$17,282.00 ",$66.00 ,0.38%,Incomplete,N/A,N/A,No,--,3.02%,Equity
BUD,ANHEUSER-BUSCH INBEV F ADR 1 ADR REPS 1 ORD SHS,80,$125.75 ,($0.25),-0.20%,"$10,060.00 ",($20.00),-0.20%,"$10,216.91 ",($156.91),-1.54%,No,--,1.76%,Equity
AAPL,APPLE INC,100,$108.77 ,($0.61),-0.56%,"$10,877.00 ",($61.00),-0.56%,"$9,725.85 ","$1,151.15 ",11.84%,No,--,1.90%,Equity
BIDU,BAIDU INC F ADR 1 ADR REPS 0.1 ORD SHS,60,$172.46 ,($0.84),-0.48%,"$10,347.59 ",($50.41),-0.48%,"$8,111.60 ","$2,235.99 ",27.57%,No,--,1.81%,Equity
BK,BANK OF NY MELLON CO,188,$40.08 ,$0.09 ,0.21%,"$7,534.10 ",$15.98 ,0.21%,Incomplete,N/A,N/A,No,--,1.31%,Equity
BA,BOEING CO,130,$134.64 ,($0.36),-0.26%,"$17,503.71 ",($46.29),-0.26%,Incomplete,N/A,N/A,No,--,3.05%,Equity
CAT,CATERPILLAR INC,150,$84.10 ,($0.19),-0.23%,"$12,615.00 ",($28.50),-0.23%,Incomplete,N/A,N/A,No,--,2.20%,Equity
CHKP,CHECK PT SOFTWARE      F,120,$74.76 ,($0.36),-0.48%,"$8,970.90 ",($43.50),-0.48%,"$7,071.43 ","$1,899.47 ",26.86%,No,--,1.57%,Equity
CVX,CHEVRON CORPORATION,80,$101.49 ,($1.13),-1.10%,"$8,119.19 ",($90.41),-1.10%,Incomplete,N/A,N/A,No,--,1.42%,Equity
CHL,CHINA MOBILE LTD F ADR 1 ADR REPS 5 ORD SHS,150,$62.05 ,($0.55),-0.88%,"$9,307.34 ",($82.67),-0.88%,"$7,496.35 ","$1,810.99 ",24.16%,No,--,1.62%,Equity
CSCO,CISCO SYSTEMS INC,358,$30.48 ,($0.64),-2.06%,"$10,911.84 ",($229.12),-2.06%,Incomplete,N/A,N/A,No,--,1.90%,Equity
KO,COCA COLA COMPANY,264,$43.86 ,$0.03 ,0.06%,"$11,578.38 ",$7.26 ,0.06%,"$9,680.66 ","$1,897.72 ",19.60%,No,--,2.02%,Equity
DLTR,DOLLAR TREE INC,250,$95.44 ,($0.07),-0.07%,"$23,860.00 ",($17.50),-0.07%,"$13,572.60 ","$10,287.40 ",75.80%,No,--,4.16%,Equity
EBAY,EBAY INC,150,$30.60 ,($0.23),-0.75%,"$4,590.00 ",($34.50),-0.75%,Incomplete,N/A,N/A,No,--,0.80%,Equity
EXPE,EXPEDIA INC,150,$115.55 ,($0.73),-0.63%,"$17,332.50 ",($109.50),-0.63%,"$7,669.02 ","$9,663.48 ",126.01%,No,--,3.03%,Equity
XOM,EXXON MOBIL CORP,170,$87.85 ,($0.07),-0.08%,"$14,934.50 ",($11.90),-0.08%,Incomplete,N/A,N/A,No,--,2.61%,Equity
